"web_x","web_y"
-10158017.582442,5402691.25591233
-10158680.0138798,5403310.93542202
-10159285.5508451,5403950.01312531
-10159897.9018197,5404815.49728024
-10160367.5887947,5405682.83309538
-10160674.2212122,5406463.45932447
-10160725.2507297,5407304.59231852
-10160713.4077445,5407795.58606451
-10160772.8909179,5408216.78866843
-10160763.5891445,5408636.84191271
-10160679.5704949,5409194.79912867
-10160426.5593842,5409728.74798096
-10160314.4925577,5410020.96404816
-10160251.6841736,5410373.03722725
-10160199.9092477,5410650.00981881
-10160212.6546806,5410731.57627352
-10160302.6935034,5410996.22424778
-10160329.8753165,5411077.79086914
-10160532.0141975,5411395.84073012
-10160765.5599694,5411578.91998744
-10160970.2369862,5411793.1087735
-10161267.4785239,5412034.29313776
-10161416.9756909,5412452.74342106
-10161427.2178653,5413013.27031275
-10161440.8700436,5413712.94877117
-10161452.8173201,5414343.99617586
